state,county,latitude,longitude
TN,Anderson,36.116731,-84.195418
TN,Bedford,35.513660,-86.458294
TN,Benton,36.069253,-88.071212
TN,Bledsoe,35.593668,-85.205979
TN,Blount,35.688185,-83.922973
TN,Bradley,35.153914,-84.859414
TN,Campbell,36.401592,-84.159250
TN,Cannon,35.808394,-86.062404
TN,Carroll,35.967896,-88.451659
TN,Carter,36.284744,-82.126593
TN,Cheatham,36.255180,-87.100816
TN,Chester,35.416639,-88.605505
TN,Claiborne,36.501557,-83.660724
TN,Clay,36.545765,-85.545718
TN,Cocke,35.916198,-83.119223
TN,Coffee,35.488759,-86.078219
TN,Crockett,35.811312,-89.135349
TN,Cumberland,35.952398,-84.994761
TN,Davidson,36.169129,-86.784790
TN,Decatur,35.603422,-88.107384
TN,DeKalb,35.982220,-85.833596
TN,Dickson,36.145533,-87.364155
TN,Dyer,36.054196,-89.398306
TN,Fayette,35.196993,-89.413803
TN,Fentress,36.376079,-84.932703
TN,Franklin,35.155926,-86.099203
TN,Gibson,35.991694,-88.933776
TN,Giles,35.202723,-87.035319
TN,Grainger,36.277463,-83.509493
TN,Greene,36.178998,-82.847746
TN,Grundy,35.387273,-85.722188
TN,Hamblen,36.218397,-83.266071
TN,Hamilton,35.159186,-85.202296
TN,Hancock,36.521420,-83.227453
TN,Hardeman,35.218131,-88.989037
TN,Hardin,35.201893,-88.185696
TN,Hawkins,36.452206,-82.931386
TN,Haywood,35.586690,-89.282536
TN,Henderson,35.653995,-88.387674
TN,Henry,36.325398,-88.300384
TN,Hickman,35.802396,-87.467114
TN,Houston,36.285777,-87.705605
TN,Humphreys,36.040440,-87.790625
TN,Jackson,36.354242,-85.674182
TN,Jefferson,36.048479,-83.440966
TN,Johnson,36.453204,-81.861237
TN,Knox,35.992727,-83.937721
TN,Lake,36.333905,-89.485537
TN,Lauderdale,35.762951,-89.627732
TN,Lawrence,35.220476,-87.396546
TN,Lewis,35.523244,-87.496983
TN,Lincoln,35.142532,-86.593388
TN,Loudon,35.737450,-84.316204
TN,McMinn,35.424471,-84.619963
TN,McNairy,35.175626,-88.564671
TN,Macon,36.537838,-86.001231
TN,Madison,35.606056,-88.833424
TN,Marion,35.133422,-85.618399
TN,Marshall,35.468387,-86.765886
TN,Maury,35.615696,-87.077763
TN,Meigs,35.503397,-84.823888
TN,Monroe,35.447666,-84.249786
TN,Montgomery,36.500354,-87.380887
TN,Moore,35.288889,-86.358684
TN,Morgan,36.138697,-84.639262
TN,Obion,36.358175,-89.150175
TN,Overton,36.344850,-85.283076
TN,Perry,35.659785,-87.877027
TN,Pickett,36.559364,-85.075741
TN,Polk,35.109437,-84.541112
TN,Putnam,36.140807,-85.496928
TN,Rhea,35.600587,-84.949552
TN,Roane,35.847472,-84.523861
TN,Robertson,36.527530,-86.869377
TN,Rutherford,35.843369,-86.417213
TN,Scott,36.437239,-84.498386
TN,Sequatchie,35.372335,-85.410344
TN,Sevier,35.791284,-83.521955
TN,Shelby,35.183794,-89.895397
TN,Smith,36.255650,-85.942078
TN,Stewart,36.511756,-87.851548
TN,Sullivan,36.510212,-82.299397
TN,Sumner,36.470015,-86.458517
TN,Tipton,35.500297,-89.763708
TN,Trousdale,36.393030,-86.156691
TN,Unicoi,36.100215,-82.418245
TN,Union,36.284140,-83.836088
TN,Van Buren,35.699245,-85.458411
TN,Warren,35.678282,-85.777363
TN,Washington,36.295665,-82.495037
TN,Wayne,35.242687,-87.819703
TN,Weakley,36.303523,-88.720785
TN,White,35.927062,-85.455766
TN,Williamson,35.894972,-86.896958
TN,Wilson,36.148476,-86.290210
